price,city,property_type,number_of_reviews,review_rating,season
163.0,SIXTH WARD,Private room,6,4.33,fall
125.0,FOURTEENTH WARD,Entire home/apt,3,5.0,fall
146.0,THIRTEENTH WARD,Entire home/apt,20,5.0,spring
132.0,NINTH WARD,Private room,6,4.67,fall
128.0,NINTH WARD,Private room,9,4.44,fall
86.0,NINTH WARD,Entire home/apt,1,5.0,spring
45.0,THIRTEENTH WARD,Private room,17,4.82,summer
92.0,SIXTH WARD,Entire home/apt,40,4.73,spring
52.0,FOURTEENTH WARD,Private room,3,5.0,fall
91.0,NINTH WARD,Entire home/apt,32,4.56,summer
246.0,FIFTEENTH WARD,Entire home/apt,103,4.94,summer
137.0,SIXTH WARD,Entire home/apt,6,4.33,summer
120.0,SIXTH WARD,Entire home/apt,12,4.5,winter
122.0,SIXTH WARD,Entire home/apt,2,3.5,fall
320.0,FIRST WARD,Entire home/apt,116,4.97,summer
221.0,TWELFTH WARD,Entire home/apt,19,4.68,winter
270.0,SIXTH WARD,Entire home/apt,2,5.0,winter
86.0,SECOND WARD,Private room,174,4.98,summer
61.0,THIRTEENTH WARD,Private room,16,5.0,spring
89.0,THIRD WARD,Entire home/apt,22,4.82,spring
52.0,FOURTEENTH WARD,Private room,4,5.0,spring
100.0,SIXTH WARD,Entire home/apt,20,4.85,spring
64.0,TENTH WARD,Entire home/apt,61,4.8,winter
36.0,THIRD WARD,Private room,27,4.74,spring
46.0,THIRD WARD,Private room,29,4.83,fall
200.0,TENTH WARD,Entire home/apt,53,4.79,spring
140.0,SEVENTH WARD,Entire home/apt,49,4.78,winter
239.0,THIRTEENTH WARD,Entire home/apt,18,5.0,winter
203.0,TENTH WARD,Entire home/apt,66,4.77,spring
103.0,THIRD WARD,Entire home/apt,3,4.67,winter
63.0,THIRTEENTH WARD,Entire home/apt,67,4.81,spring
143.0,THIRTEENTH WARD,Entire home/apt,43,4.86,spring
106.0,THIRTEENTH WARD,Entire home/apt,41,4.63,spring
165.0,SIXTH WARD,Private room,2,5.0,winter
155.0,ELEVENTH WARD,Private room,7,5.0,fall
165.0,TENTH WARD,Private room,7,4.71,winter
165.0,TENTH WARD,Private room,2,4.5,fall
165.0,SIXTH WARD,Private room,6,4.33,spring
313.0,TENTH WARD,Entire home/apt,16,4.88,winter
50.0,ELEVENTH WARD,Private room,25,4.84,spring
39.0,THIRTEENTH WARD,Private room,34,5.0,summer
162.0,TWELFTH WARD,Entire home/apt,9,5.0,winter
58.0,FIFTEENTH WARD,Private room,6,5.0,spring
54.0,ELEVENTH WARD,Private room,19,5.0,summer
104.0,SIXTH WARD,Entire home/apt,172,4.92,spring
126.0,NINTH WARD,Entire home/apt,118,4.98,spring
116.0,FIFTEENTH WARD,Entire home/apt,19,4.84,winter
89.0,SIXTH WARD,Entire home/apt,100,4.86,spring
136.0,FIFTEENTH WARD,Entire home/apt,21,4.9,winter
55.0,FOURTEENTH WARD,Private room,123,4.86,summer
91.0,SIXTH WARD,Entire home/apt,25,4.96,spring
116.0,FIFTH WARD,Entire home/apt,4,4.0,spring
77.0,THIRD WARD,Entire home/apt,7,5.0,spring
100.0,FOURTEENTH WARD,Entire home/apt,18,4.83,spring
222.0,SEVENTH WARD,Entire home/apt,9,4.89,spring
90.0,THIRD WARD,Entire home/apt,35,4.94,summer
163.0,EIGHTH WARD,Entire home/apt,55,5.0,spring
196.0,SECOND WARD,Entire home/apt,64,4.81,summer
51.0,THIRTEENTH WARD,Private room,64,4.86,spring
51.0,THIRTEENTH WARD,Private room,70,4.87,summer
59.0,FOURTEENTH WARD,Private room,22,5.0,winter
70.0,SIXTH WARD,Entire home/apt,41,4.71,spring
102.0,SECOND WARD,Entire home/apt,1,5.0,winter
56.0,FOURTEENTH WARD,Private room,16,5.0,spring
67.0,THIRTEENTH WARD,Private room,86,4.93,summer
79.0,SIXTH WARD,Entire home/apt,61,4.75,spring
65.0,SECOND WARD,Entire home/apt,142,4.64,spring
107.0,THIRD WARD,Entire home/apt,21,4.76,spring
107.0,THIRD WARD,Entire home/apt,29,4.59,spring
116.0,ELEVENTH WARD,Entire home/apt,83,4.86,spring
91.0,THIRD WARD,Entire home/apt,2,4.5,fall
67.0,SIXTH WARD,Entire home/apt,48,4.79,spring
115.0,SECOND WARD,Entire home/apt,19,4.21,spring
53.0,SEVENTH WARD,Entire home/apt,1,5.0,fall
